aX,aY,aZ,gX,gY,gZ
-0.609,0.128,-1.126,233.191,-84.076,12.641
-0.633,0.117,-1.142,235.053,-82.519,9.053
-0.664,0.100,-1.192,236.641,-81.130,6.412
-0.695,0.075,-1.214,237.786,-79.084,3.878
-0.714,0.054,-1.209,238.122,-76.626,0.916
-0.749,0.022,-1.211,238.031,-73.450,-2.229
-0.757,-0.011,-1.225,237.573,-69.496,-5.832
-0.739,-0.038,-1.216,237.450,-64.275,-10.229
-0.706,-0.069,-1.204,237.832,-58.489,-14.397
-0.683,-0.079,-1.171,239.069,-51.359,-18.534
-0.656,-0.095,-1.137,241.130,-43.435,-22.107
-0.649,-0.105,-1.096,243.420,-35.420,-25.786
-0.645,-0.113,-1.070,245.954,-28.260,-28.733
-0.648,-0.125,-1.037,248.183,-22.458,-30.702
-0.640,-0.133,-1.019,250.931,-18.382,-31.435
-0.642,-0.159,-0.992,253.496,-16.137,-30.779
-0.642,-0.177,-0.960,256.275,-16.061,-29.664
-0.648,-0.200,-0.930,258.748,-18.336,-29.008
-0.651,-0.238,-0.919,261.313,-23.466,-29.725
-0.666,-0.268,-0.922,264.947,-31.985,-32.473
-0.663,-0.311,-0.910,269.863,-44.244,-37.710
-0.643,-0.352,-0.894,276.901,-58.076,-44.168
-0.600,-0.399,-0.882,286.687,-70.779,-51.252
-0.539,-0.436,-0.849,298.214,-81.435,-57.130
-0.480,-0.461,-0.834,311.160,-89.756,-61.603
-0.414,-0.477,-0.809,325.420,-96.519,-64.748
-0.355,-0.479,-0.784,338.870,-102.534,-66.641
-0.326,-0.465,-0.736,351.099,-108.183,-67.527
-0.315,-0.464,-0.698,360.687,-114.366,-67.527
-0.296,-0.466,-0.690,367.053,-121.344,-66.580
-0.274,-0.436,-0.687,370.351,-126.977,-64.992
-0.240,-0.414,-0.669,369.527,-132.748,-63.679
-0.192,-0.415,-0.665,364.901,-137.328,-62.122
