aX,aY,aZ,gX,gY,gZ
1.540,-1.631,1.390,177.389,-432.687,-142.427
1.472,-1.677,1.363,165.557,-442.473,-138.931
1.402,-1.693,1.319,154.855,-452.733,-139.221
1.315,-1.726,1.307,146.046,-461.634,-142.947
1.261,-1.782,1.264,139.740,-466.260,-150.000
1.238,-1.826,1.239,137.084,-463.710,-158.580
1.212,-1.850,1.250,137.496,-453.573,-167.573
1.233,-1.824,1.227,140.947,-437.160,-175.985
1.241,-1.729,1.259,145.053,-415.649,-184.260
1.251,-1.641,1.281,148.092,-393.145,-192.000
1.225,-1.523,1.314,148.595,-372.076,-198.687
1.168,-1.439,1.366,147.298,-353.344,-202.962
1.096,-1.370,1.442,145.099,-335.985,-204.595
1.012,-1.281,1.524,143.511,-319.405,-204.947
0.926,-1.202,1.592,144.076,-306.473,-203.863
0.832,-1.111,1.669,146.901,-298.366,-201.969
0.734,-1.016,1.713,150.473,-294.092,-199.191
0.631,-0.931,1.754,153.450,-291.985,-195.603
0.531,-0.833,1.808,154.489,-291.679,-191.313
0.404,-0.742,1.805,154.336,-294.198,-187.206
0.281,-0.616,1.791,150.168,-297.664,-183.863
0.147,-0.518,1.721,145.664,-301.252,-180.718
0.082,-0.427,1.658,141.863,-300.290,-177.145
0.032,-0.330,1.598,137.771,-293.664,-173.221
-0.005,-0.241,1.522,130.885,-281.084,-169.023
-0.020,-0.158,1.449,119.252,-262.031,-165.756
0.001,-0.066,1.397,102.870,-241.069,-162.183
0.004,0.049,1.356,82.870,-218.153,-157.511
-0.025,0.129,1.326,63.710,-195.634,-151.695
-0.074,0.176,1.299,46.977,-174.473,-144.397
-0.131,0.222,1.275,34.733,-155.725,-135.832
-0.212,0.265,1.270,25.924,-138.992,-126.351
-0.316,0.319,1.245,20.458,-126.351,-116.779
-0.402,0.377,1.189,16.595,-117.924,-107.435
-0.475,0.450,1.107,13.771,-112.794,-97.389
-0.534,0.489,1.056,10.809,-110.702,-86.748
-0.617,0.530,0.942,7.053,-109.588,-75.069
-0.676,0.566,0.827,2.183,-107.481,-63.282
-0.731,0.593,0.698,-4.580,-103.710,-51.511
-0.771,0.615,0.576,-13.527,-99.725,-39.435
-0.791,0.640,0.490,-25.191,-95.542,-27.206
-0.819,0.645,0.354,-37.603,-90.947,-15.939
-0.831,0.665,0.238,-50.473,-84.489,-5.313
-0.816,0.674,0.134,-62.718,-77.450,4.031
-0.792,0.687,0.062,-73.389,-69.115,12.580
-0.763,0.680,-0.024,-83.695,-59.863,21.023
-0.738,0.632,-0.096,-93.679,-50.366,29.634
-0.699,0.597,-0.143,-102.977,-41.969,39.405
-0.696,0.563,-0.198,-110.779,-37.008,49.710
-0.710,0.520,-0.268,-115.405,-35.679,59.740
-0.732,0.475,-0.304,-116.076,-36.824,69.145
-0.728,0.406,-0.371,-113.206,-38.779,77.725
-0.709,0.324,-0.395,-107.847,-40.534,86.489
-0.666,0.244,-0.448,-101.557,-42.000,93.863
-0.612,0.172,-0.486,-94.580,-43.237,100.763
-0.527,0.111,-0.550,-88.412,-43.435,106.534
-0.445,0.070,-0.564,-83.588,-41.328,110.763
-0.373,0.022,-0.598,-79.466,-37.466,114.137
-0.325,-0.021,-0.621,-77.130,-32.351,116.733
-0.279,-0.073,-0.635,-76.763,-25.359,117.985
-0.270,-0.136,-0.665,-77.176,-18.504,118.000
-0.228,-0.192,-0.702,-76.931,-10.809,116.229
-0.173,-0.248,-0.699,-76.489,-4.092,113.924
-0.122,-0.283,-0.690,-75.221,2.992,110.702
-0.041,-0.321,-0.668,-73.496,10.794,106.718
0.053,-0.360,-0.667,-70.809,18.763,102.779
0.145,-0.407,-0.641,-66.870,27.023,99.069
0.220,-0.441,-0.604,-61.802,34.458,95.893
0.259,-0.452,-0.585,-55.420,41.313,93.069
0.334,-0.462,-0.522,-48.305,48.412,90.076
0.406,-0.473,-0.450,-40.565,54.763,87.420
0.468,-0.488,-0.395,-33.099,60.183,84.779
0.508,-0.503,-0.342,-26.000,64.153,82.565
0.538,-0.533,-0.279,-19.053,66.397,79.878
0.568,-0.537,-0.210,-12.260,67.023,77.191
0.602,-0.539,-0.160,-4.855,66.260,74.336
0.621,-0.543,-0.110,2.092,65.221,71.496
0.647,-0.559,-0.059,8.168,63.679,69.115

0.840,-1.407,0.760,255.023,-225.863,-118.061
0.857,-1.399,0.779,255.481,-226.733,-118.321
0.872,-1.400,0.789,255.893,-227.664,-118.489
0.872,-1.400,0.789,256.198,-228.275,-118.565
0.940,-1.400,0.835,256.901,-231.969,-118.366
0.998,-1.400,0.872,256.626,-236.229,-117.191
1.044,-1.415,0.908,255.450,-241.802,-116.076
